id,start_time,end_time,lat,lon,median_distance_km,median_speed_knots,vessel_1_id,vessel_1_type,vessel_1_tileset,vessel_2_id,vessel_2_type,vessel_2_tileset
id--4340960301150859575,2012-12-05 17:30:00 UTC,2012-12-05 23:00:00 UTC,-13.6131286677,-82.7252993465,0.0353855798,0.8480067251,9ce4d61b-394f-c237-3e73-36fe7952ad33,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-ba2e-7ae3fe1eaef6,reefers,gfw-tasks-658-reefer-uvi-v2
id-3238913943430456701,2012-01-26 03:30:00 UTC,2012-01-26 11:10:00 UTC,58.54335565825,146.13477867470002,0.0542080847,1.3544338310000001,9ce4d61b-394f-c237-22f5-2b1071619141,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-9a61-1714f1c63a64,reefers,gfw-tasks-658-reefer-uvi-v2
id-2363285625854322322,2012-02-24 08:10:00 UTC,2012-02-24 10:10:00 UTC,56.426515875499994,152.19794148885,0.0346157229,0.97434993964999994,9ce4d61b-394f-c237-d892-edaf9c721a7d,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-fbe6-7061edfd6d04,reefers,gfw-tasks-658-reefer-uvi-v2
id--415865619438942949,2012-02-25 07:10:00 UTC,2012-02-25 09:50:00 UTC,54.1441349336,155.437717124,0.0442407474,0.008691546100000001,9ce4d61b-394f-c237-193b-dda5e7368c30,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-d8ab-c2789b8814a3,reefers,gfw-tasks-658-reefer-uvi-v2
id--3937154723047132960,2012-03-17 20:00:00 UTC,2012-03-18 01:00:00 UTC,4.93457086025,-153.89277603805002,0.1804675875,1.71523096115,9ce4d61b-394f-c237-2884-8416b3811a6e,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-6d41-71dfc90d9dfa,reefers,gfw-tasks-658-reefer-uvi-v2
id-4187927722024452443,2012-04-07 01:00:00 UTC,2012-04-07 04:10:00 UTC,56.3843028484,147.0493379327,0.0604406923,0.92578819164999993,9ce4d61b-394f-c237-f7ad-ba675de44280,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-fbe6-7061edfd6d04,reefers,gfw-tasks-658-reefer-uvi-v2
id-4422552605348514268,2012-04-13 12:00:00 UTC,2012-04-13 15:50:00 UTC,-50.0426912592,-58.7318367401,0.0247641811,0.2570686452,9ce4d61b-394f-c237-3228-99aad3a37470,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-40d6-9c651f35de68,reefers,gfw-tasks-658-reefer-uvi-v2
id-428802015938511620,2012-06-05 08:40:00 UTC,2012-06-05 10:50:00 UTC,58.7351378454,-157.14969667970004,0.3291584746,0.0058117004,9ce4d61b-394f-c237-2807-e052ce89cf3b,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-f3ac-e8529f3ef01d,reefers,gfw-tasks-658-reefer-uvi-v2
id-3937783722835857652,2012-09-26 10:30:00 UTC,2012-09-26 23:20:00 UTC,62.4785033474,178.06644716755,0.0259989177,0.0067445894,9ce4d61b-394f-c237-1114-24c95c55b8f4,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-fd58-0ec5b7c5c9e7,reefers,gfw-tasks-658-reefer-uvi-v2
id--2592163769051022278,2012-04-07 08:50:00 UTC,2012-04-08 00:30:00 UTC,74.395563608150013,18.835734891749997,0.05158735295,0.01389021645,9ce4d61b-394f-c237-1d73-16b27c6e46d2,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-576c-4d641573c2b5,reefers,gfw-tasks-658-reefer-uvi-v2
id--2266983088264808288,2012-07-18 21:00:00 UTC,2012-07-19 04:50:00 UTC,2.9850993916,-152.52627790179997,0.0422100627,0.678326263,9ce4d61b-394f-c237-887d-5021978a22e6,fishing,gfw-tasks-657-uvi-v1,9ce4d61b-394f-c237-d30c-233e6059cd4c,reefers,gfw-tasks-658-reefer-uvi-v2
